filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
1721_1_44468.pdf-dpi100-page0015.png,32983,"{}",0,0,"{}","{}"
1721_1_44468.pdf-dpi100-page0012.png,12613,"{}",1,0,"{""name"":""rect"",""x"":174,""y"":288,""width"":608,""height"":604}","{}"
1721_1_44468.pdf-dpi100-page0002.png,23848,"{}",0,0,"{}","{}"
1721_1_44468.pdf-dpi100-page0008.png,17288,"{}",0,0,"{}","{}"
1721_1_44468.pdf-dpi100-page0006.png,32064,"{}",0,0,"{}","{}"
1721_1_44468.pdf-dpi100-page0003.png,17708,"{}",0,0,"{}","{}"
1721_1_44468.pdf-dpi100-page0001.png,16090,"{}",0,0,"{}","{}"
1721_1_44468.pdf-dpi100-page0005.png,20451,"{}",0,0,"{}","{}"
1721_1_44468.pdf-dpi100-page0004.png,13149,"{}",0,0,"{}","{}"
1721_1_44468.pdf-dpi100-page0011.png,30595,"{}",0,0,"{}","{}"
1721_1_44468.pdf-dpi100-page0013.png,29328,"{}",0,0,"{}","{}"
1721_1_44468.pdf-dpi100-page0010.png,27399,"{}",0,0,"{}","{}"
1721_1_44468.pdf-dpi100-page0009.png,28518,"{}",0,0,"{}","{}"
1721_1_44468.pdf-dpi100-page0007.png,18265,"{}",1,0,"{""name"":""rect"",""x"":163,""y"":153,""width"":541,""height"":785}","{}"
1721_1_44468.pdf-dpi100-page0016.png,13038,"{}",1,0,"{""name"":""rect"",""x"":137,""y"":314,""width"":579,""height"":657}","{}"
1721_1_44468.pdf-dpi100-page0014.png,13583,"{}",1,0,"{""name"":""rect"",""x"":102,""y"":291,""width"":575,""height"":531}","{}"
1721_1_44468.pdf-dpi100-page0030.png,19843,"{}",0,0,"{}","{}"
1721_1_44468.pdf-dpi100-page0017.png,15238,"{}",1,0,"{""name"":""rect"",""x"":80,""y"":224,""width"":575,""height"":723}","{}"
1721_1_44468.pdf-dpi100-page0022.png,34163,"{}",0,0,"{}","{}"
1721_1_44468.pdf-dpi100-page0031.png,26169,"{}",0,0,"{}","{}"
1721_1_44468.pdf-dpi100-page0029.png,12419,"{}",1,0,"{""name"":""rect"",""x"":144,""y"":245,""width"":524,""height"":662}","{}"
1721_1_44468.pdf-dpi100-page0024.png,22893,"{}",0,0,"{}","{}"
1721_1_44468.pdf-dpi100-page0019.png,22982,"{}",0,0,"{}","{}"
1721_1_44468.pdf-dpi100-page0027.png,30051,"{}",0,0,"{}","{}"
1721_1_44468.pdf-dpi100-page0025.png,15384,"{}",1,0,"{""name"":""rect"",""x"":290,""y"":66,""width"":441,""height"":816}","{}"
1721_1_44468.pdf-dpi100-page0023.png,12349,"{}",1,0,"{""name"":""rect"",""x"":393,""y"":152,""width"":333,""height"":762}","{}"
1721_1_44468.pdf-dpi100-page0021.png,10468,"{}",1,0,"{""name"":""rect"",""x"":129,""y"":442,""width"":544,""height"":362}","{}"
1721_1_44468.pdf-dpi100-page0033.png,29187,"{}",0,0,"{}","{}"
1721_1_44468.pdf-dpi100-page0032.png,11724,"{}",1,0,"{""name"":""rect"",""x"":213,""y"":454,""width"":446,""height"":441}","{}"
1721_1_44468.pdf-dpi100-page0026.png,22616,"{}",0,0,"{}","{}"
1721_1_44468.pdf-dpi100-page0020.png,26633,"{}",0,0,"{}","{}"
1721_1_44468.pdf-dpi100-page0018.png,28312,"{}",0,0,"{}","{}"
1721_1_44468.pdf-dpi100-page0028.png,26904,"{}",0,0,"{}","{}"
1721_1_44468.pdf-dpi100-page0043.png,16014,"{}",1,0,"{""name"":""rect"",""x"":337,""y"":163,""width"":404,""height"":833}","{}"
1721_1_44468.pdf-dpi100-page0048.png,29495,"{}",1,0,"{""name"":""rect"",""x"":130,""y"":132,""width"":610,""height"":884}","{}"
1721_1_44468.pdf-dpi100-page0047.png,13175,"{}",0,0,"{}","{}"
1721_1_44468.pdf-dpi100-page0046.png,36468,"{}",0,0,"{}","{}"
1721_1_44468.pdf-dpi100-page0036.png,22396,"{}",0,0,"{}","{}"
1721_1_44468.pdf-dpi100-page0035.png,12819,"{}",1,0,"{""name"":""rect"",""x"":240,""y"":377,""width"":409,""height"":543}","{}"
1721_1_44468.pdf-dpi100-page0034.png,37316,"{}",0,0,"{}","{}"
1721_1_44468.pdf-dpi100-page0039.png,13998,"{}",1,0,"{""name"":""rect"",""x"":215,""y"":434,""width"":446,""height"":470}","{}"
1721_1_44468.pdf-dpi100-page0045.png,34191,"{}",0,0,"{}","{}"
1721_1_44468.pdf-dpi100-page0044.png,32897,"{}",0,0,"{}","{}"
1721_1_44468.pdf-dpi100-page0038.png,34959,"{}",0,0,"{}","{}"
1721_1_44468.pdf-dpi100-page0037.png,37111,"{}",0,0,"{}","{}"
1721_1_44468.pdf-dpi100-page0042.png,29704,"{}",0,0,"{}","{}"
1721_1_44468.pdf-dpi100-page0040.png,36259,"{}",0,0,"{}","{}"
1721_1_44468.pdf-dpi100-page0041.png,23115,"{}",0,0,"{}","{}"
1721_1_44468.pdf-dpi100-page0051.png,431040,"{}",1,0,"{""name"":""rect"",""x"":242,""y"":171,""width"":3660,""height"":3118}","{}"
1721_1_44468.pdf-dpi100-page0049.png,15137,"{}",1,0,"{""name"":""rect"",""x"":126,""y"":93,""width"":615,""height"":345}","{}"
1721_1_44468.pdf-dpi100-page0050.png,25312,"{}",0,0,"{}","{}"
1721_1_44468.pdf-dpi100-page0056.png,133159,"{}",1,0,"{""name"":""rect"",""x"":163,""y"":145,""width"":1525,""height"":2033}","{}"
1721_1_44468.pdf-dpi100-page0052.png,152979,"{}",1,0,"{""name"":""rect"",""x"":117,""y"":389,""width"":1831,""height"":965}","{}"
1721_1_44468.pdf-dpi100-page0055.png,124225,"{}",1,0,"{""name"":""rect"",""x"":152,""y"":252,""width"":1644,""height"":1201}","{}"
1721_1_44468.pdf-dpi100-page0054.png,117077,"{}",1,0,"{""name"":""rect"",""x"":272,""y"":209,""width"":1822,""height"":1425}","{}"
1721_1_44468.pdf-dpi100-page0053.png,168219,"{}",2,0,"{""name"":""rect"",""x"":171,""y"":228,""width"":1344,""height"":745}","{}"
1721_1_44468.pdf-dpi100-page0053.png,168219,"{}",2,1,"{""name"":""rect"",""x"":193,""y"":1256,""width"":1081,""height"":647}","{}"
